Report Start Time,Report End Time,Circle,BSC,Device Name,Cell Id,Start Time,End Time,Duration (DD:HH:mm:ss),Availability(%),Severity,Planned/Unplanned,Remarks
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_ASMBC7,  --  ,2023-Jun-07  03:40:28,--,00:07:30:42,0.0,Critical,Unplanned,A-Interface between BSC(MNG-KNVVB01) and MSC (A_Manager_ASMBC7) is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,GB-Aggregator-1,  --  ,2023-Jun-07  03:40:03,--,00:07:30:42,0.0,Critical,Unplanned,GB-Aggregator-1 NOT reachable. Potentially down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_ASMBC7,  --  ,2023-Jun-07  02:37:13,--,00:07:30:42,0.0,Critical,Unplanned,Aquat-Interface with BSC (MNG-KNVVB01) is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,MNG-KNVVB01,  --  ,2023-Feb-18  01:45:34,--,00:07:30:42,0.0,Critical,Unplanned,License: version_2 Expired for BSC:MNG-KNVVB01,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_ASMBC7,  --  ,2023-Apr-04  01:01:37,--,00:07:30:42,0.0,Critical,Unplanned,A-Interface between AManager(A_Manager_ASMBC7) and MSC is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,MNG-KNVVB01,  --  ,2023-Aug-03  19:42:06,--,00:07:30:42,0.0,Major,Unplanned,No Traffic Channels are used in the cell: 19931,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_LGMBC1,  --  ,2023-Sep-25  01:53:26,2023-Sep-25  01:53:57,00:00:00:30,--,Critical,Unplanned,A-Interface between AManager(A_Manager_LGMBC1) and MSC is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_LGMBC1,  --  ,2023-Sep-25  01:53:57,2023-Sep-25  01:54:27,00:00:00:29,99.77,Critical,Unplanned,A-Interface between AManager(A_Manager_LGMBC1) and MSC is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,BY2720,27201,2023-Sep-24  08:26:57,--,00:07:30:42,0.0,Major,Unplanned,Antenna0 VSWR exceeds alarm level threshold, VSWR val = 2.03589,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,BY2720-PCU-2,27201,2023-Jun-07  02:37:14,--,00:07:30:42,0.0,Critical,Unplanned,Gb-quat interface is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,DL5037-PCU,50371,2023-Jun-07  02:37:14,--,00:07:30:42,0.0,Critical,Unplanned,Gb-quat interface is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,MNG-KNVVB01,  --  ,2023-Feb-18  01:45:37,--,00:07:30:42,0.0,Critical,Unplanned,Bsc License Load error: FileLoadError for BSC 10.201.165.1,
