Start Time,End Time,BTS Name,Cell ID,BTS IP Address,BSC Name,Call Setup Success Rate,Call Setup Success Rate - NR,Call Setup Success Rate - DR,Call Success Rate,Call Success Rate - NR,Call Success Rate - DR,CS Erlangs,LCLS CS Erlangs,Total Channel Drops,SDCCH Drop Count,SDCCH Drop Rate,SDCCH Drop Rate - NR,SDCCH Drop Rate - DR,TCH Drop Count,TCH Drop Rate Prime,TCH Drop Rate Prime - NR,TCH Drop Rate Prime - DR,TCH Drop Rate,TCH Drop Rate - NR,TCH Drop Rate - DR,Immediate Assignment Procedure Success Rate,Immediate Assignment Procedure Success Rate - NR,Immediate Assignment Procedure Success Rate - DR,SDCCH Blocking Count,SDCCH Blocking Rate,SDCCH Blocking Rate - NR,SDCCH Blocking Rate - DR,TCH Blocking Count,TCH Blocking Rate,TCH Blocking Rate - NR,TCH Blocking Rate - DR,Number Of Tchf Attempts,Number Of Tchf Success,Number Of Tchh Attempts,Number Of Tchh Success,Number Of SDCCH Assignment Attempts,Number Of Successful SDCCH Assignments,External Handover Success Rate,External Handover Success Rate - NR,External Handover Success Rate - DR,Internal Handover Success Rate,Internal Handover Success Rate - NR,Internal Handover Success Rate - DR,Internal Handover Success Rate Prime,Internal Handover Success Rate Prime - NR,Internal Handover Success Rate Prime - DR,Total Voice Call Minutes,Mean Holding Time In Secs,Mean Holding Time In Secs - NR,Mean Holding Time In Secs - DR,DL TCH RxQual 0,DL TCH RxQual 1,DL TCH RxQual 2,DL TCH RxQual 3,DL TCH RxQual 4,DL TCH RxQual 5,DL TCH RxQual 6,DL TCH RxQual 7,UL TCH RxQual 0,UL TCH RxQual 1,UL TCH RxQual 2,UL TCH RxQual 3,UL TCH RxQual 4,UL TCH RxQual 5,UL TCH RxQual 6,UL TCH RxQual 7,UL TCH RxQual 0To5 Percent,DL TCH RxQual 0To5 Percent,SDCCH8 Blocking Count,Number Of Radio Connection Failures SDCCH4,Number Of Radio Connection Failures SDCCH8,Number Of Radio Connection Failures TCH_H,Number Of Radio Connection Failures TCH_F,Number Of SDCCH4 Assignment Attempts,Number Of SDCCH4 Assignment Success,Number Of SDCCH8 Assignment Attempts,Number Of SDCCH8 Assignment Success,SDCCH4 Blocking Count,TCH_H Blocking Count,TCH_F Blocking Count,Number Of Paging Attempts,Percent Smart Pages,Percent Smart Pages - NR,Percent Smart Pages - DR,Smart Paging Success Rate,Smart Paging Success Rate - NR,Smart Paging Success Rate - DR,Number Of Emergency Calls,Number Of Location Updates,Total Number Of Calls,External HandIn Success Rate,External HandIn Success Rate - NR,External HandIn Success Rate - DR,BTS Up Time,Abis Availability,Average TRX Up Time In Secs
Sep 25 2023 - 00:00:00,Sep 25 2023 - 00:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,66.0,67.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,66.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,00:06:02:00,100.0,900.0
Sep 25 2023 - 00:15:00,Sep 25 2023 - 00:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,59.0,59.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,00:06:17:00,100.0,900.0
Sep 25 2023 - 00:30:00,Sep 25 2023 - 00:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,59.0,59.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,00:06:31:59,100.0,900.0
Sep 25 2023 - 00:45:00,Sep 25 2023 - 01:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,00:06:46:59,100.0,900.0
Sep 25 2023 - 01:00:00,Sep 25 2023 - 01:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,99.0,78.0,79.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,78.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,00:07:01:59,100.0,899.0
Sep 25 2023 - 01:15:00,Sep 25 2023 - 01:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,00:07:17:00,100.0,901.0
Sep 25 2023 - 01:30:00,Sep 25 2023 - 01:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,53.0,53.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,00:07:32:00,100.0,900.0
Sep 25 2023 - 01:45:00,Sep 25 2023 - 02:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,52.0,53.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,00:07:47:00,100.0,900.0
Sep 25 2023 - 02:00:00,Sep 25 2023 - 02:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,61.0,61.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,00:08:02:00,100.0,900.0
Sep 25 2023 - 02:15:00,Sep 25 2023 - 02:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,50.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,50.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,00:08:16:59,100.0,899.0
