Start Time,End Time,BSC Name,BSC IP Address,Call Setup Success Rate,Call Setup Success Rate - NR,Call Setup Success Rate - DR,Call Success Rate,Call Success Rate - NR,Call Success Rate - DR,CS Erlangs,LCLS CS Erlangs,Total Channel Drops,SDCCH Drop Count,SDCCH Drop Rate,SDCCH Drop Rate - NR,SDCCH Drop Rate - DR,TCH Drop Count,TCH Drop Rate Prime,TCH Drop Rate Prime - NR,TCH Drop Rate Prime - DR,TCH Drop Rate,TCH Drop Rate - NR,TCH Drop Rate - DR,Immediate Assignment Procedure Success Rate,Immediate Assignment Procedure Success Rate - NR,Immediate Assignment Procedure Success Rate - DR,SDCCH Blocking Count,SDCCH Blocking Rate,SDCCH Blocking Rate - NR,SDCCH Blocking Rate - DR,TCH Blocking Count,TCH Blocking Rate,TCH Blocking Rate - NR,TCH Blocking Rate - DR,Number Of Tchf Attempts,Number Of Tchf Success,Number Of Tchh Attempts,Number Of Tchh Success,Number Of SDCCH Assignment Attempts,Number Of Successful SDCCH Assignments,External Handover Success Rate,External Handover Success Rate - NR,External Handover Success Rate - DR,Internal Handover Success Rate,Internal Handover Success Rate - NR,Internal Handover Success Rate - DR,Internal Handover Success Rate Prime,Internal Handover Success Rate Prime - NR,Internal Handover Success Rate Prime - DR,Total Voice Call Minutes,Mean Holding Time In Secs,Mean Holding Time In Secs - NR,Mean Holding Time In Secs - DR,DL TCH RxQual 0,DL TCH RxQual 1,DL TCH RxQual 2,DL TCH RxQual 3,DL TCH RxQual 4,DL TCH RxQual 5,DL TCH RxQual 6,DL TCH RxQual 7,UL TCH RxQual 0,UL TCH RxQual 1,UL TCH RxQual 2,UL TCH RxQual 3,UL TCH RxQual 4,UL TCH RxQual 5,UL TCH RxQual 6,UL TCH RxQual 7,UL TCH RxQual 0To5 Percent,DL TCH RxQual 0To5 Percent,SDCCH8 Blocking Count,Number Of Radio Connection Failures SDCCH4,Number Of Radio Connection Failures SDCCH8,Number Of Radio Connection Failures TCH_H,Number Of Radio Connection Failures TCH_F,Number Of SDCCH4 Assignment Attempts,Number Of SDCCH4 Assignment Success,Number Of SDCCH8 Assignment Attempts,Number Of SDCCH8 Assignment Success,SDCCH4 Blocking Count,TCH_H Blocking Count,TCH_F Blocking Count,Number Of Paging Attempts,Percent Smart Pages,Percent Smart Pages - NR,Percent Smart Pages - DR,Smart Paging Success Rate,Smart Paging Success Rate - NR,Smart Paging Success Rate - DR,Number Of Emergency Calls,Number Of Location Updates,Total Number Of Calls,External HandIn Success Rate,External HandIn Success Rate - NR,External HandIn Success Rate - DR,Abis Availability
Sep 25 2023 - 00:00:00,Sep 25 2023 - 00:15:00,MNG-KNVVB01,10.201.165.1,100.0,15.0,15.0,93.33,14.0,15.0,0.12000000000000001,0.0,2.0,1.0,0.45,1.0,223.0,1.0,6.67,1.0,15.0,6.67,1.0,15.0,99.11,223.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,15.0,225.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,7.0,15.0,856.0,18.0,33.0,5.0,1.0,0.0,0.0,0.0,936.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,98.95,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,225.0,223.0,0.0,0.0,0.0,141.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,81.0,15.0,0.0,0.0,0.0,74.97
Sep 25 2023 - 00:15:00,Sep 25 2023 - 00:30:00,MNG-KNVVB01,10.201.165.1,100.0,13.0,13.0,92.31,12.0,13.0,0.06999999999999999,0.0,1.0,0.0,0.0,0.0,196.0,1.0,7.69,1.0,13.0,7.69,1.0,13.0,98.99,196.0,198.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,198.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.46,4.0,13.0,440.0,2.0,12.0,6.0,11.0,14.0,11.0,3.0,531.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,98.89,97.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,198.0,196.0,0.0,0.0,0.0,114.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,69.0,13.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 00:30:00,Sep 25 2023 - 00:45:00,MNG-KNVVB01,10.201.165.1,100.0,10.0,10.0,100.0,10.0,10.0,0.11,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,100.0,220.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,6.0,10.0,726.0,9.0,55.0,33.0,4.0,0.0,0.0,0.0,837.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,99.06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,141.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,95.0,10.0,0.0,0.0,0.0,74.97
Sep 25 2023 - 00:45:00,Sep 25 2023 - 01:00:00,MNG-KNVVB01,10.201.165.1,100.0,5.0,5.0,80.0,4.0,5.0,0.060000000000000005,0.0,1.0,0.0,0.0,0.0,178.0,1.0,20.0,1.0,5.0,20.0,1.0,5.0,99.44,178.0,179.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,179.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,4.0,5.0,417.0,2.0,13.0,12.0,2.0,0.0,0.0,0.0,451.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,99.12,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,179.0,178.0,0.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,79.0,5.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 01:00:00,Sep 25 2023 - 01:15:00,MNG-KNVVB01,10.201.165.1,100.0,4.0,4.0,75.0,3.0,4.0,0.07,0.0,1.0,0.0,0.0,0.0,200.0,1.0,25.0,1.0,4.0,25.0,1.0,4.0,99.5,200.0,201.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,201.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,4.0,4.0,506.0,2.0,16.0,8.0,1.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,99.46,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.0,200.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,77.0,4.0,0.0,0.0,0.0,74.94
Sep 25 2023 - 01:15:00,Sep 25 2023 - 01:30:00,MNG-KNVVB01,10.201.165.1,100.0,8.0,8.0,100.0,8.0,8.0,0.03,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,100.0,186.0,186.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,8.0,236.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,98.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,73.0,8.0,0.0,0.0,0.0,75.06
Sep 25 2023 - 01:30:00,Sep 25 2023 - 01:45:00,MNG-KNVVB01,10.201.165.1,100.0,7.0,7.0,100.0,7.0,7.0,0.03,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,100.0,200.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.14,2.0,7.0,263.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.65,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,86.0,7.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 01:45:00,Sep 25 2023 - 02:00:00,MNG-KNVVB01,10.201.165.1,100.0,6.0,6.0,100.0,6.0,6.0,0.03,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,99.44,177.0,178.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,178.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,6.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,177.0,0.0,0.0,0.0,81.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,71.0,6.0,0.0,0.0,0.0,75.0
Sep 25 2023 - 02:00:00,Sep 25 2023 - 02:15:00,MNG-KNVVB01,10.201.165.1,100.0,5.0,5.0,100.0,5.0,5.0,0.01,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,100.0,178.0,178.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,5.0,111.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,70.0,5.0,0.0,0.0,0.0,74.97
Sep 25 2023 - 02:15:00,Sep 25 2023 - 02:30:00,MNG-KNVVB01,10.201.165.1,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,1.0,167.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,97.66,167.0,171.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,171.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,171.0,167.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,0.0,74.94
