Start Time,End Time,BSC Name,BSC IP Address,DL PS Erlangs,UL PS Erlangs,Total Data Calls,Total Downlink Data In KByte,Total Uplink Data In KByte,Downlink Data Throughput In Kbps,Downlink Data Throughput In Kbps - NR,Downlink Data Throughput In Kbps - DR,Uplink Data Throughput In Kbps,Uplink Data Throughput In Kbps - NR,Uplink Data Throughput In Kbps - DR,DL Tbf Drop Rate,DL Tbf Drop Rate - NR,DL Tbf Drop Rate - DR,UL Tbf Drop Rate,UL Tbf Drop Rate - NR,UL Tbf Drop Rate - DR,Egprs Downlink Data Throughput In Kbps,Egprs Downlink Data Throughput In Kbps - NR,Egprs Downlink Data Throughput In Kbps - DR,Egprs Uplink Data Throughput In Kbps,Egprs Uplink Data Throughput In Kbps - NR,Egprs Uplink Data Throughput In Kbps - DR,Gprs Downlink Data Throughput In Kbps,Gprs Downlink Data Throughput In Kbps - NR,Gprs Downlink Data Throughput In Kbps - DR,Gprs Uplink Data Throughput In Kbps,Gprs Uplink Data Throughput In Kbps - NR,Gprs Uplink Data Throughput In Kbps - DR,Downlink Data Retransmission Rate,Downlink Data Retransmission Rate - NR,Downlink Data Retransmission Rate - DR,Uplink Data Retransmission Rate,Uplink Data Retransmission Rate - NR,Uplink Data Retransmission Rate - DR,Gprs Uplink Tbf Blocking Rate,Gprs Uplink Tbf Blocking Rate - NR,Gprs Uplink Tbf Blocking Rate - DR,Gprs Downlink Tbf Blocking Rate,Gprs Downlink Tbf Blocking Rate - NR,Gprs Downlink Tbf Blocking Rate - DR,Egprs Downlink Tbf Blocking Rate,Egprs Downlink Tbf Blocking Rate - NR,Egprs Downlink Tbf Blocking Rate - DR,Egprs Uplink Tbf Blocking Rate,Egprs Uplink Tbf Blocking Rate - NR,Egprs Uplink Tbf Blocking Rate - DR,DL Tbf Establishment Success Rate,DL Tbf Establishment Success Rate - NR,DL Tbf Establishment Success Rate - DR,UL Tbf Establishment Success Rate,UL Tbf Establishment Success Rate - NR,UL Tbf Establishment Success Rate - DR,GprsDownlinkTbfReallocationAttempts,GprsDownlinkTbfReallocationSuccess,GprsUplinkTbfReallocationAttempts,GprsUplinkTbfReallocationSuccess,EgprsDownlinkTbfReallocationAttempts,EgprsDownlinkTbfReallocationSuccess,EgprsUplinkTbfReallocationAttempts,EgprsUplinkTbfReallocationSuccess,DlMcs1Count,DlMcs2Count,DlMcs3Count,DlMcs4Count,DlMcs5Count,DlMcs6Count,DlMcs7Count,DlMcs8Count,DlMcs9Count,UlMcs1Count,UlMcs2Count,UlMcs3Count,UlMcs4Count,UlMcs5Count,UlMcs6Count,UlMcs7Count,UlMcs8Count,UlMcs9Count,DlCs1Count,DlCs2Count,DlCs3Count,DlCs4Count,UlCs1Count,UlCs2Count,UlCs3Count,UlCs4Count,EgprsDl10PercentileMeanThroughput,EgprsDl20PercentileMeanThroughput,EgprsDl30PercentileMeanThroughput,EgprsDl40PercentileMeanThroughput,EgprsDl50PercentileMeanThroughput,EgprsDl60PercentileMeanThroughput,EgprsDl70PercentileMeanThroughput,EgprsDl80PercentileMeanThroughput,EgprsDl90PercentileMeanThroughput,EgprsDl10PercentileMeanLlcFrameDelay,EgprsDl20PercentileMeanLlcFrameDelay,EgprsDl30PercentileMeanLlcFrameDelay,EgprsDl40PercentileMeanLlcFrameDelay,EgprsDl50PercentileMeanLlcFrameDelay,EgprsDl60PercentileMeanLlcFrameDelay,EgprsDl70PercentileMeanLlcFrameDelay,EgprsDl80PercentileMeanLlcFrameDelay,EgprsDl90PercentileMeanLlcFrameDelay,EgprsDl10PercentileSampleSize,EgprsDl20PercentileSampleSize,EgprsDl30PercentileSampleSize,EgprsDl40PercentileSampleSize,EgprsDl50PercentileSampleSize,EgprsDl60PercentileSampleSize,EgprsDl70PercentileSampleSize,EgprsDl80PercentileSampleSize,EgprsDl90PercentileSampleSize,EgprsUl10PercentileMeanThroughput,EgprsUl20PercentileMeanThroughput,EgprsUl30PercentileMeanThroughput,EgprsUl40PercentileMeanThroughput,EgprsUl50PercentileMeanThroughput,EgprsUl60PercentileMeanThroughput,EgprsUl70PercentileMeanThroughput,EgprsUl80PercentileMeanThroughput,EgprsUl90PercentileMeanThroughput,EgprsUl10PercentileSampleSize,EgprsUl20PercentileSampleSize,EgprsUl30PercentileSampleSize,EgprsUl40PercentileSampleSize,EgprsUl50PercentileSampleSize,EgprsUl60PercentileSampleSize,EgprsUl70PercentileSampleSize,EgprsUl80PercentileSampleSize,EgprsUl90PercentileSampleSize,GprsDl10PercentileMeanThroughput,GprsDl20PercentileMeanThroughput,GprsDl30PercentileMeanThroughput,GprsDl40PercentileMeanThroughput,GprsDl50PercentileMeanThroughput,GprsDl60PercentileMeanThroughput,GprsDl70PercentileMeanThroughput,GprsDl80PercentileMeanThroughput,GprsDl90PercentileMeanThroughput,GprsDl10PercentileMeanLlcFrameDelay,GprsDl20PercentileMeanLlcFrameDelay,GprsDl30PercentileMeanLlcFrameDelay,GprsDl40PercentileMeanLlcFrameDelay,GprsDl50PercentileMeanLlcFrameDelay,GprsDl60PercentileMeanLlcFrameDelay,GprsDl70PercentileMeanLlcFrameDelay,GprsDl80PercentileMeanLlcFrameDelay,GprsDl90PercentileMeanLlcFrameDelay,GprsDl10PercentileSampleSize,GprsDl20PercentileSampleSize,GprsDl30PercentileSampleSize,GprsDl40PercentileSampleSize,GprsDl50PercentileSampleSize,GprsDl60PercentileSampleSize,GprsDl70PercentileSampleSize,GprsDl80PercentileSampleSize,GprsDl90PercentileSampleSize,GprsUl10PercentileMeanThroughput,GprsUl20PercentileMeanThroughput,GprsUl30PercentileMeanThroughput,GprsUl40PercentileMeanThroughput,GprsUl50PercentileMeanThroughput,GprsUl60PercentileMeanThroughput,GprsUl70PercentileMeanThroughput,GprsUl80PercentileMeanThroughput,GprsUl90PercentileMeanThroughput,GprsUl10PercentileSampleSize,GprsUl20PercentileSampleSize,GprsUl30PercentileSampleSize,GprsUl40PercentileSampleSize,GprsUl50PercentileSampleSize,GprsUl60PercentileSampleSize,GprsUl70PercentileSampleSize,GprsUl80PercentileSampleSize,GprsUl90PercentileSampleSize,Uplink Tbf Assignment Success Rate,Uplink Tbf Assignment Success Rate - NR,Uplink Tbf Assignment Success Rate - DR,Downlink Tbf Assignment Success Rate,Downlink Tbf Assignment Success Rate - NR,Downlink Tbf Assignment Success Rate - DR
Sep 25 2023 - 00:00:00,Sep 25 2023 - 00:15:00,MNG-KNVVB01,10.201.165.1,1.18,0.37000000000000005,2152.0,1466.0,581.0,7.53,11724.06,1556.18,5.08,4648.04,914.1599999999999,0.39,2.0,507.0,0.73,12.0,1645.0,7.65,9812.5,1283.03,4.02,2912.2200000000003,723.8599999999999,7.0,1911.56,273.15,9.12,1735.83,190.3,8.53,2205.0,25842.0,0.05,9.0,18488.0,0.0,0.0,819.0,0.0,0.0,126.0,0.0,0.0,429.0,0.0,0.0,856.0,91.32,463.0,507.0,99.45,1636.0,1645.0,0.0,0.0,0.0,0.0,42.0,42.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,17414.0,0.0,0.0,0.0,0.0,0.0,10669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8428.0,0.0,0.0,0.0,0.0,0.0,7828.0,8739.0,9454.0,10304.0,11103.0,12028.0,13598.0,15594.0,19684.0,29334.0,264.0,292.0,327.0,366.0,412.0,483.0,552.0,616.0,668.0,203.0,181.0,158.0,136.0,115.0,91.0,69.0,46.0,24.0,37322.0,41746.0,47375.0,53668.0,63741.0,78947.0,99942.0,145745.0,261285.0,166.0,147.0,128.0,111.0,93.0,74.0,57.0,38.0,19.0,2595.0,2697.0,2783.0,2846.0,2924.0,2998.0,3086.0,3227.0,3513.0,231.0,257.0,290.0,316.0,347.0,391.0,456.0,575.0,740.0,76.0,67.0,59.0,51.0,43.0,34.0,26.0,18.0,9.0,4303.0,4303.0,4682.0,4682.0,5299.0,5299.0,6427.0,6427.0,9290.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,100.0,1652.0,1652.0,100.0,513.0,513.0
Sep 25 2023 - 00:15:00,Sep 25 2023 - 00:30:00,MNG-KNVVB01,10.201.165.1,1.46,0.5,2189.0,2083.0,1148.0,6.66,16657.239999999998,2501.76,5.62,9172.94,1631.58,0.31,2.0,644.0,1.04,16.0,1545.0,6.59,14703.61,2229.7599999999998,5.18,7515.92,1451.18,7.18,1953.64,272.0,9.19,1657.02,180.4,12.63,4409.0,34905.0,0.44,149.0,34082.0,0.0,0.0,667.0,0.0,0.0,109.0,0.0,0.0,595.0,0.0,0.0,926.0,93.32,601.0,644.0,99.09,1531.0,1545.0,0.0,0.0,1.0,1.0,62.0,62.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,26353.0,0.0,0.0,0.0,0.0,0.0,26803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8552.0,0.0,0.0,0.0,0.0,0.0,7428.0,6058.0,6512.0,6985.0,7405.0,7846.0,8513.0,9205.0,10277.0,12392.0,154.0,170.0,186.0,206.0,229.0,262.0,297.0,352.0,451.0,200.0,178.0,156.0,134.0,113.0,90.0,68.0,46.0,24.0,25292.0,28107.0,31692.0,35702.0,42084.0,51705.0,64998.0,93356.0,162264.0,151.0,134.0,117.0,101.0,85.0,68.0,52.0,35.0,18.0,2669.0,2790.0,2884.0,2984.0,3072.0,3160.0,3258.0,3415.0,3759.0,429.0,479.0,544.0,628.0,710.0,832.0,852.0,882.0,967.0,76.0,67.0,59.0,51.0,43.0,34.0,26.0,18.0,9.0,3208.0,3208.0,3261.0,3261.0,3261.0,3342.0,3342.0,3484.0,3484.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,100.0,1544.0,1544.0,100.0,642.0,642.0
Sep 25 2023 - 00:30:00,Sep 25 2023 - 00:45:00,MNG-KNVVB01,10.201.165.1,1.08,0.28,2019.0,1357.0,627.0,5.1,10854.78,2128.13,3.52,5020.01,1427.28,0.52,3.0,574.0,0.9,13.0,1445.0,5.14,10125.4,1970.12,2.85,3644.39,1278.03,4.62,729.38,158.01,9.22,1375.62,149.25,13.76,2950.0,21445.0,0.12,24.0,19410.0,0.0,0.0,635.0,0.0,0.0,108.0,0.0,0.0,504.0,0.0,0.0,834.0,93.38,536.0,574.0,99.72,1441.0,1445.0,0.0,0.0,1.0,1.0,40.0,40.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,18118.0,0.0,0.0,0.0,0.0,0.0,13269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3327.0,0.0,0.0,0.0,0.0,0.0,6165.0,6058.0,6512.0,6985.0,7405.0,7846.0,8513.0,9205.0,10277.0,12392.0,154.0,170.0,186.0,206.0,229.0,262.0,297.0,352.0,451.0,200.0,178.0,156.0,134.0,113.0,90.0,68.0,46.0,24.0,25292.0,28107.0,31692.0,35702.0,42084.0,51705.0,64998.0,93356.0,162264.0,151.0,134.0,117.0,101.0,85.0,68.0,52.0,35.0,18.0,2669.0,2790.0,2884.0,2984.0,3072.0,3160.0,3258.0,3415.0,3759.0,429.0,479.0,544.0,628.0,710.0,832.0,852.0,882.0,967.0,76.0,67.0,59.0,51.0,43.0,34.0,26.0,18.0,9.0,3208.0,3208.0,3261.0,3261.0,3261.0,3342.0,3342.0,3484.0,3484.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,100.0,1440.0,1440.0,100.0,572.0,572.0
Sep 25 2023 - 00:45:00,Sep 25 2023 - 01:00:00,MNG-KNVVB01,10.201.165.1,1.09,0.45000000000000007,1539.0,1295.0,1234.0,6.68,10360.710000000001,1550.6999999999998,9.03,9869.98,1092.69,0.22,1.0,460.0,1.48,16.0,1079.0,6.77,9211.98,1360.44,8.47,8201.26,968.08,6.04,1148.74,190.26,13.39,1668.7,124.61,10.65,2322.0,21796.0,0.35,129.0,36363.0,0.0,0.0,546.0,0.0,0.0,108.0,0.0,0.0,391.0,0.0,0.0,572.0,95.43,439.0,460.0,99.63,1075.0,1079.0,1.0,1.0,0.0,0.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,16705.0,0.0,0.0,0.0,0.0,0.0,29066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.0,0.0,0.0,0.0,0.0,0.0,7426.0,11419.0,11770.0,13551.0,13907.0,16600.0,17034.0,22140.0,22946.0,33532.0,174.0,185.0,207.0,223.0,257.0,282.0,336.0,385.0,505.0,194.0,173.0,151.0,130.0,109.0,88.0,66.0,45.0,23.0,25448.0,28269.0,31879.0,35914.0,42348.0,52021.0,65430.0,93943.0,163444.0,148.0,132.0,115.0,100.0,83.0,67.0,51.0,35.0,18.0,2710.0,2832.0,2933.0,3037.0,3140.0,3239.0,3345.0,3521.0,3875.0,467.0,521.0,592.0,684.0,777.0,915.0,961.0,1043.0,1254.0,80.0,71.0,62.0,54.0,45.0,36.0,28.0,19.0,10.0,23466.0,23466.0,23519.0,31299.0,31299.0,31380.0,35467.0,35609.0,35609.0,8.0,8.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,100.0,1081.0,1081.0,100.0,461.0,461.0
Sep 25 2023 - 01:00:00,Sep 25 2023 - 01:15:00,MNG-KNVVB01,10.201.165.1,1.0899999999999999,0.6100000000000001,1742.0,1104.0,2342.0,5.63,8834.73,1568.79,16.32,18731.18,1147.51,0.9,4.0,442.0,0.85,11.0,1300.0,5.6,7733.82,1381.8200000000002,16.91,16957.57,1002.7800000000001,5.89,1100.9,186.97,12.25,1773.6,144.73,9.75,1858.0,19051.0,0.13,89.0,67256.0,0.0,0.0,633.0,0.0,0.0,112.0,0.0,0.0,356.0,0.0,0.0,694.0,93.21,412.0,442.0,99.92,1299.0,1300.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,14152.0,0.0,0.0,0.0,0.0,0.0,59443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4899.0,0.0,0.0,0.0,0.0,0.0,7902.0,11510.0,11824.0,13543.0,13867.0,16552.0,16996.0,22090.0,22833.0,32932.0,176.0,186.0,207.0,222.0,255.0,281.0,334.0,382.0,496.0,125.0,112.0,98.0,85.0,71.0,57.0,43.0,30.0,16.0,10075.0,10974.0,11747.0,13095.0,14370.0,16966.0,21449.0,27085.0,48555.0,111.0,99.0,87.0,75.0,63.0,51.0,38.0,27.0,14.0,2716.0,2833.0,2928.0,3036.0,3131.0,3228.0,3336.0,3508.0,3858.0,459.0,512.0,582.0,673.0,765.0,901.0,946.0,1023.0,1221.0,89.0,79.0,69.0,60.0,50.0,40.0,31.0,21.0,11.0,22619.0,22619.0,22672.0,30452.0,30452.0,30533.0,34620.0,34762.0,34762.0,8.0,8.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,100.0,1301.0,1301.0,100.0,442.0,442.0
Sep 25 2023 - 01:15:00,Sep 25 2023 - 01:30:00,MNG-KNVVB01,10.201.165.1,1.29,0.72,1567.0,1580.0,1694.0,7.72,12646.41,1638.4,9.71,13553.95,1396.15,0.23,1.0,432.0,1.59,18.0,1135.0,7.93,11639.73,1467.92,9.47,12063.16,1274.45,5.9,1006.68,170.48,12.25,1490.79,121.7,9.34,2396.0,25649.0,0.33,161.0,49012.0,0.0,0.0,509.0,0.0,0.0,111.0,0.0,0.0,354.0,0.0,0.0,660.0,86.57,374.0,432.0,99.12,1125.0,1135.0,0.0,0.0,0.0,0.0,34.0,34.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,21157.0,0.0,0.0,0.0,0.0,0.0,42523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4492.0,0.0,0.0,0.0,0.0,0.0,6650.0,11795.0,12082.0,13770.0,14052.0,16578.0,16836.0,21938.0,22392.0,31945.0,198.0,210.0,231.0,254.0,286.0,311.0,393.0,452.0,578.0,82.0,74.0,65.0,56.0,47.0,38.0,28.0,20.0,11.0,9814.0,10642.0,11335.0,12591.0,13731.0,16134.0,20310.0,25406.0,45488.0,75.0,67.0,59.0,51.0,43.0,35.0,26.0,19.0,10.0,1470.0,1522.0,1579.0,1637.0,1705.0,1775.0,1858.0,1990.0,2227.0,66.0,72.0,81.0,92.0,107.0,129.0,165.0,231.0,403.0,81.0,72.0,63.0,55.0,46.0,37.0,29.0,20.0,11.0,20942.0,20942.0,20942.0,28722.0,28722.0,28722.0,32809.0,32809.0,32809.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,100.0,1136.0,1136.0,100.0,431.0,431.0
Sep 25 2023 - 01:30:00,Sep 25 2023 - 01:45:00,MNG-KNVVB01,10.201.165.1,1.2399999999999998,0.59,1429.0,1057.0,3788.0,3.45,8456.97,2453.16,15.25,30305.2,1986.9699999999998,0.2,1.0,500.0,0.65,6.0,929.0,3.44,8137.2300000000005,2368.79,15.5,29721.809999999998,1917.92,3.79,319.75,84.37,8.45,583.39,69.05,10.3,1741.0,16902.0,0.15,159.0,105995.0,0.0,0.0,363.0,0.0,0.0,77.0,0.0,0.0,456.0,0.0,0.0,600.0,97.4,487.0,500.0,99.78,927.0,929.0,0.0,0.0,0.0,0.0,32.0,32.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,15426.0,0.0,0.0,0.0,0.0,0.0,103492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,0.0,0.0,0.0,0.0,0.0,2662.0,11795.0,12082.0,13770.0,14052.0,16578.0,16836.0,21938.0,22392.0,31945.0,198.0,210.0,231.0,254.0,286.0,311.0,393.0,452.0,578.0,82.0,74.0,65.0,56.0,47.0,38.0,28.0,20.0,11.0,9814.0,10642.0,11335.0,12591.0,13731.0,16134.0,20310.0,25406.0,45488.0,75.0,67.0,59.0,51.0,43.0,35.0,26.0,19.0,10.0,1470.0,1522.0,1579.0,1637.0,1705.0,1775.0,1858.0,1990.0,2227.0,66.0,72.0,81.0,92.0,107.0,129.0,165.0,231.0,403.0,81.0,72.0,63.0,55.0,46.0,37.0,29.0,20.0,11.0,20942.0,20942.0,20942.0,28722.0,28722.0,28722.0,32809.0,32809.0,32809.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,100.0,930.0,930.0,100.0,501.0,501.0
Sep 25 2023 - 01:45:00,Sep 25 2023 - 02:00:00,MNG-KNVVB01,10.201.165.1,1.1800000000000002,0.38,1582.0,2124.0,1382.0,7.77,16989.989999999998,2185.31,7.27,11056.17,1520.58,0.37,2.0,543.0,0.38,4.0,1039.0,7.97,16638.129999999997,2088.08,7.19,10162.07,1413.23,3.62,351.86,97.23,8.33,894.1,107.35,17.16,5393.0,31431.0,0.37,148.0,39697.0,0.0,0.0,487.0,0.0,0.0,90.0,0.0,0.0,485.0,0.0,0.0,580.0,99.82,542.0,543.0,99.23,1031.0,1039.0,0.0,0.0,0.0,0.0,33.0,33.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,29811.0,0.0,0.0,0.0,0.0,0.0,35814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,4031.0,9558.0,10445.0,11182.0,12352.0,13312.0,15096.0,17864.0,20957.0,31220.0,165.0,182.0,198.0,228.0,253.0,291.0,368.0,441.0,579.0,101.0,90.0,80.0,68.0,58.0,46.0,34.0,24.0,13.0,30007.0,33445.0,37511.0,42662.0,49961.0,61723.0,78555.0,109526.0,192819.0,104.0,92.0,81.0,70.0,59.0,47.0,36.0,25.0,13.0,1471.0,1532.0,1591.0,1661.0,1741.0,1843.0,1976.0,2182.0,2390.0,139.0,155.0,174.0,202.0,235.0,293.0,390.0,544.0,831.0,86.0,76.0,67.0,58.0,49.0,39.0,30.0,21.0,11.0,23869.0,24585.0,25291.0,25934.0,25934.0,26579.0,27214.0,28484.0,28600.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,3.0,100.0,1035.0,1035.0,100.0,542.0,542.0
Sep 25 2023 - 02:00:00,Sep 25 2023 - 02:15:00,MNG-KNVVB01,10.201.165.1,1.18,0.38,1707.0,1247.0,1086.0,4.61,9975.99,2166.21,5.75,8684.74,1510.24,0.18,1.0,569.0,0.62,7.0,1138.0,4.47,8648.42,1932.6699999999998,4.93,6695.61,1358.3700000000001,5.68,1327.57,233.54,13.1,1989.12,151.87,10.67,2301.0,21563.0,0.18,57.0,32409.0,0.0,0.0,614.0,0.0,0.0,136.0,0.0,0.0,459.0,0.0,0.0,549.0,96.31,548.0,569.0,100.0,1138.0,1138.0,1.0,1.0,0.0,0.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,15687.0,0.0,0.0,0.0,0.0,0.0,23627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,0.0,0.0,0.0,0.0,0.0,8839.0,8676.0,9492.0,10266.0,11379.0,12278.0,14015.0,16632.0,19496.0,29375.0,127.0,140.0,154.0,179.0,198.0,228.0,298.0,366.0,496.0,49.0,44.0,39.0,33.0,29.0,23.0,17.0,12.0,7.0,25348.0,28045.0,31513.0,35514.0,41797.0,51318.0,64156.0,90310.0,154429.0,89.0,79.0,69.0,60.0,50.0,40.0,31.0,21.0,11.0,1459.0,1520.0,1575.0,1641.0,1702.0,1802.0,1946.0,2149.0,2328.0,137.0,154.0,172.0,201.0,233.0,291.0,387.0,540.0,823.0,69.0,61.0,54.0,46.0,40.0,32.0,24.0,17.0,9.0,23842.0,24558.0,25264.0,25907.0,25907.0,26552.0,27187.0,28457.0,28573.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,3.0,100.0,1140.0,1140.0,100.0,571.0,571.0
Sep 25 2023 - 02:15:00,Sep 25 2023 - 02:30:00,MNG-KNVVB01,10.201.165.1,1.1,0.44,1221.0,2462.0,1713.0,12.64,19701.86,1559.27,12.59,13705.25,1088.74,0.0,0.0,402.0,1.1,9.0,819.0,13.03,18598.26,1427.27,12.33,12200.12,989.55,8.36,1103.6,132.0,15.17,1505.14,99.19,13.41,5104.0,38059.0,0.22,107.0,49385.0,0.0,0.0,444.0,0.0,0.0,99.0,0.0,0.0,339.0,0.0,0.0,409.0,96.52,388.0,402.0,98.9,810.0,819.0,1.0,1.0,0.0,0.0,35.0,35.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,33179.0,0.0,0.0,0.0,0.0,0.0,42808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4880.0,0.0,0.0,0.0,0.0,0.0,6684.0,8629.0,9450.0,10192.0,11253.0,12132.0,13899.0,16392.0,19289.0,29133.0,97.0,109.0,121.0,136.0,148.0,174.0,209.0,259.0,382.0,54.0,48.0,42.0,36.0,32.0,25.0,19.0,13.0,7.0,25339.0,28043.0,31515.0,35523.0,41817.0,51344.0,64199.0,90376.0,154500.0,88.0,78.0,68.0,59.0,49.0,39.0,30.0,20.0,10.0,1459.0,1520.0,1575.0,1641.0,1702.0,1802.0,1946.0,2149.0,2328.0,137.0,154.0,172.0,201.0,233.0,291.0,387.0,540.0,823.0,69.0,61.0,54.0,46.0,40.0,32.0,24.0,17.0,9.0,24945.0,25661.0,26367.0,27010.0,27010.0,27655.0,28290.0,29560.0,29676.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,3.0,100.0,819.0,819.0,100.0,402.0,402.0
