Stats Collection Time,Device Name,Cell ID,IP Address,BSC Name,Min Jitter UL (ms),Min Jitter DL (ms),Max Jitter UL (ms),Max Jitter DL (ms),Avg Jitter UL (ms),Avg Jitter DL (ms),Max Loss UL (%),Max Loss DL (%),Avg Loss UL (%),Avg Loss DL (%)
2023-Sep-25  00:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,5.0,98.5,15.4,36.4,10.2,0.8,0.0,0.1,0.0
2023-Sep-25  00:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,0.0,9.2,0.0,15.7,0.0,0.0,0.0,0.0
2023-Sep-25  01:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,0.0,27.5,0.0,16.4,2.0,0.0,0.0,0.0
2023-Sep-25  01:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,8.3,0.0,6.4,0.0,6.0,0.0,0.0,0.0,0.0
2023-Sep-25  02:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,14.5,0.0,14.5,0.0,14.5,0.0,0.0,0.0,0.0
2023-Sep-25  02:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,98.2,19.7,33.1,11.9,0.0,23.1,0.0,3.3
2023-Sep-25  03:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,0.0,21.8,0.0,11.8,0.0,0.0,0.0,0.0
2023-Sep-25  03:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,38.9,7.3,0.0,1.9,0.0,0.0,0.0,0.0
2023-Sep-25  04:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,0.0,7.3,0.0,3.4,0.0,0.0,0.0,0.0
2023-Sep-25  04:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,0.0,27.4,0.0,6.7,0.0,0.4,0.0,0.1
2023-Sep-25  05:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,159.4,27.8,27.0,7.2,1.2,1.2,0.2,0.1
2023-Sep-25  05:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,94.3,20.2,24.8,7.4,0.8,0.4,0.1,0.1
2023-Sep-25  06:05:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,159.4,25.3,41.6,8.0,3.2,4.7,0.1,0.1
2023-Sep-25  06:35:00,BY2720,27201,10.28.73.148,MNG-KNVVB01,0.0,0.0,149.4,29.5,44.4,8.5,3.6,25.0,0.2,0.3
2023-Sep-25  00:05:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,1.2,0.0,22.2,0.0,13.5,0.0,0.0,0.0,0.0
2023-Sep-25  01:05:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
2023-Sep-25  03:35:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-Sep-25  04:05:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,141.5,42.8,48.4,13.7,0.0,0.0,0.0,0.0
