Stats Collection Time,Device Name,Cell ID,BSC Name,TotalTxPowerDbm-Ant0,VswrValue-Ant0,TotalTxPowerDbm-Ant1,VswrValue-Ant1
2023-Sep-25  00:05:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.8459,2.3361
2023-Sep-25  00:20:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7627,2.3858
2023-Sep-25  00:35:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.6029,2.4501
2023-Sep-25  00:50:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.9993,2.2305
2023-Sep-25  01:05:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,40.0313,2.3338
2023-Sep-25  01:20:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.9865,2.3362
2023-Sep-25  01:35:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.6796,2.2894
2023-Sep-25  01:50:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7500,2.2808
2023-Sep-25  02:05:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7499,2.5664
2023-Sep-25  02:20:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.6029,2.5913
2023-Sep-25  02:35:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7372,2.4024
2023-Sep-25  02:50:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7563,2.4166
2023-Sep-25  03:05:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.8395,2.3747
2023-Sep-25  03:20:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.8459,2.3361
2023-Sep-25  03:35:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7180,2.3789
2023-Sep-25  03:50:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7116,2.3901
2023-Sep-25  04:05:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.6285,2.3019
2023-Sep-25  04:20:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.5901,2.2940
2023-Sep-25  04:35:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.6540,2.4058
2023-Sep-25  04:50:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.5773,2.4272
2023-Sep-25  05:05:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.7755,2.2662
2023-Sep-25  05:20:00,BY2720,27201,MNG-KNVVB01,40.3804,2.4052,39.8906,2.2474
2023-Sep-25  05:35:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.8587,2.3328
2023-Sep-25  05:50:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.7755,2.3729
2023-Sep-25  06:05:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.7627,2.4247
2023-Sep-25  06:20:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.5262,2.4829
2023-Sep-25  06:35:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.7308,2.4438
2023-Sep-25  06:50:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.6221,2.3762
2023-Sep-25  07:05:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.7052,2.3729
2023-Sep-25  07:20:00,BY2720,27201,MNG-KNVVB01,40.1768,2.5260,39.6924,2.2862
2023-Sep-25  00:05:01,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,39.9568,1.5120
2023-Sep-25  00:20:01,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,39.8906,1.5640
2023-Sep-25  00:35:00,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,40.1687,1.5046
2023-Sep-25  00:50:01,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,40.2217,1.4876
2023-Sep-25  01:05:00,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,40.1952,1.5137
2023-Sep-25  01:20:01,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,39.8244,1.5276
2023-Sep-25  01:35:01,ED4859,48591,MNG-KNVVB01,39.9718,2.0613,39.8376,1.5294
2023-Sep-25  01:50:00,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.9767,1.5788
2023-Sep-25  02:05:01,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.7913,1.5983
2023-Sep-25  02:20:01,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.9171,1.5149
2023-Sep-25  02:35:01,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.8376,1.5561
2023-Sep-25  02:50:01,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.8509,1.4980
2023-Sep-25  03:05:01,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.7184,1.5076
2023-Sep-25  03:20:00,ED4859,48591,MNG-KNVVB01,40.2094,2.1569,39.5992,1.6056
